Material1,Section1,Area1,Orientation1,Material2,Section2,Area2,Orientation2,Angle,W/F/H,Ved,Fed,Output
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.36,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.36,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,2.34,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.69,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.69,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,0.82,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.25,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.25,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.91,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.31,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.31,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.12,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,I,46.0,X,90.0,0,4.44,0.33,1.0
235.0,S,27.0,XZ,235.0,I,46.0,X,34.992020198558656,2,4.44,0.33,3.0
235.0,I,46.0,Z,235.0,I,46.0,X,90.0,1,3.57,0.34,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.62,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.62,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.36,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.36,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.51,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.51,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.2,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.2,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.7,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.98,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.98,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,0.65,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.15,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.15,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.65,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.96,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.96,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,0.66,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.27,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.27,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.94,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.94,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.94,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,0.41,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.08,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,1.08,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,1.51,3.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.93,1.0
355.0,I,131.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.93,1.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,0.0,0.72,3.0
275.0,H,11.0,X,235.0,S,15.0,XZ,34.992020198558656,2,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,I,46.0,X,90.00000000000006,0,4.57,0.44,1.0
235.0,S,27.0,XZ,235.0,I,46.0,X,34.992020198558706,2,4.57,0.44,3.0
235.0,I,46.0,Z,235.0,I,46.0,X,89.99999999999994,1,3.71,0.43,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.51,1.0
355.0,I,112.0,Z,275.0,H,11.0,X,90.0,0,0.22,0.51,1.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,1.94,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,0.65,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,0.66,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,0.41,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,50.30732684933118,1,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,0.72,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,2.03,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,0.34,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.7,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.65,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.94,3.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,50.30732684933118,1,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.51,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,1.22,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,0.38,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.05,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,2.1,3.0
355.0,I,131.0,Z,235.0,S,27.0,YZ,50.30732684933118,1,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.06,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,2.06,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,0.82,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,2.34,3.0
355.0,I,131.0,Z,235.0,S,27.0,YZ,50.30732684933118,1,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.12,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,131.0,Z,235.0,S,15.0,XZ,55.007979801441344,0,0.0,1.91,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,0.0,1.3,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
355.0,I,112.0,Z,235.0,S,27.0,XZ,55.007979801441344,0,1.0,1.0,3.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.03,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.03,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.1,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.08,1.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,8.0,YZ,122.00538320808352,1,0.0,0.04,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.08,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.02,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,8.0,YZ,122.00538320808352,1,1.0,1.0,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.14,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.0,1.0
235.0,I,46.0,Z,235.0,I,54.0,X,90.00005729583681,0,1.03,0.38,1.0
235.0,I,46.0,Z,235.0,S,8.0,XZ,57.9946167919165,0,0.0,0.43,3.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.07,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,235.0,S,8.0,YZ,122.00538320808352,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.09,1.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.09,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,235.0,S,15.0,YZ,57.9946167919165,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,8.0,YZ,122.00538320808352,1,1.0,1.0,3.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.01,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.1,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.07,1.0
235.0,I,46.0,Z,235.0,S,8.0,XZ,122.00538320808347,1,0.0,0.41,3.0
235.0,I,46.0,Z,235.0,S,8.0,XZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,46.0,Z,235.0,S,8.0,XZ,53.26785992364137,1,1.0,1.0,3.0
235.0,I,46.0,Z,235.0,S,8.0,XZ,53.26785992364137,1,0.0,0.33,3.0
235.0,I,76.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.14,1.0
235.0,I,76.0,Z,235.0,I,54.0,X,90.00000464560337,1,1.03,0.38,1.0
235.0,I,76.0,Z,235.0,S,8.0,XZ,122.00538320808347,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,S,8.0,XZ,122.00538320808347,1,0.0,0.39,3.0
235.0,I,76.0,Z,235.0,S,8.0,XZ,57.9946167919165,1,0.0,0.24,3.0
235.0,I,76.0,Z,235.0,S,8.0,XZ,53.26785992364137,1,1.0,1.0,3.0
235.0,I,76.0,Z,235.0,I,31.0,X,90.0,1,0.3,0.03,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.1,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.1,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.07,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.07,1.0
235.0,I,46.0,Z,275.0,H,11.0,X,90.0,0,0.0,0.14,1.0
235.0,I,76.0,Z,275.0,H,11.0,X,90.0,1,0.0,0.14,1.0
235.0,I,46.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.07,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.03,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.03,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.04,1.0
235.0,I,76.0,Z,275.0,H,11.0,Y,90.0,1,0.0,0.06,1.0
